Platform,Month,url,טקסט,Author,topic,likes,comments,shares,"interactions",views
פייסבוק,Jun-21,https://www.facebook.com/DDaniie/posts/10225496721867248?__cft__[0]=AZVrUGAt9ip-77RxPl_QAtG-xzvRbkKZXg9vBwz-oRClBgHk48p8lm9isDO06Y-YBPAkvt0MWMHOKaMAMejdg33c_Mkcrtk8fqggXZkBHjBcqZIeRX68svs5sXI1YftDvwg&__tn__=%2CO%2CP-R,TechWeek at intel!,Daniela Rosenstien,תרבות ארגונית,31,,,"31.00",
לינקדאין,Jun-21,https://www.linkedin.com/posts/efrat-kadosh-8411321_myintelstory-iamintel-ai-activity-6810853050152964096-kfIx,"אולי זה הזמן הנכון בשבילי לעשות תואר שני? התייעצתי עם המנהלת שלי לפני 3 שנים. התחלנו בצעדי ה reskill הראשונים של הצוות שלי מתוכנה ו BI לבינה מלאכותית, ורציתי ללמוד ולהתמקצע בתחום בעצמי. ""ברור! את חייבת את זה לעצמך!"" אמרה ויצאתי לדרך. 15 שנים ו 4 ילדים מסיום התואר הראשון, התייצבתי בקמפוס. פעמיים בשבוע יצאתי מהמשרד בצהריים כדי ללמוד אנליטיקה עסקית, למידת מכונה, אסטרטגיה וניהול. היה מעניין, מאתגר, מפרה, מפתח ומעצים. פאסט פורוורד, אתמול קיבלתי את תעודת הסיום מדקאן הפקולטה להנדסה ב Tel Aviv University , שפנה אלינו בטקס בלשון רבות. מסתבר שרוב בוגרי המחזור בהנדסה, הם למעשה בוגרות 💪",Efrat Kadosh,תרבות ארגונית,227,64,,"291",4116
לינקדאין,Jun-21,https://www.linkedin.com/posts/efrat-kadosh-8411321_mindcet-myintelstory-iamintel-activity-6805756699404718080-nInP,"יש לי תאומים בני 9. אורי ואייל. לפני הקורונה, הלימודים זרמו להם בקלילות. ואז הגיעו הסגרים. הם התקשו להתמיד בזום ואמא שלהם שיחררה. נוצר פער לימודי שעד היום הם מתקשים לסגור. מגמה הפוכה התרחשה ביכולות הגיימינג שלהם, שהלכו והשתבחו מסגר לסגר. ביום שני שיתפתי את דודו ארז Dudu Erez, במסגרת פאנל לייב של אינטל בנושא עתיד החינוך, במשאלה שלי: שלפני שנפתחת לאייל תיבת משחק, הוא יצטרך לפתור נכונה תרגיל בלוח הכפל. ובשביל שאורי יעבור שלב, הוא יתבקש לאיית מילה באנגלית באופן מדויק. או במילים אחרות: שנצליח לרתום את ההתמכרות למשחקי מחשב לטובת מערכת החינוך. בפאנל השתתפו אבי ורשבסקי Avi warshavsky שמנהל את חממת הסטארטאפים לחינוך בירוחם - #mindcet, לימור הררי limor harary, ראש מחלקת חדשנות וטכנולוגיה באקדמית גורדון, ניתאי פרידמן Nitai Friedman, מנהל אסטרטגיה באינטל העולמית ואנוכי. קיבלתי הזדמנות לשתף את החזון שלי לעולם החינוך העתידי וכיצד בינה מלאכותית תשחק תפקיד משמעותי בו, מבלי לייתר את תפקידם החשוב של המורים האנושיים. מוזמנים לצפות בהקלטת הפאנל. לינק בתגובה הראשונה. תמונה: Maayan Peleg המופלאה",Efrat Kadosh,טכנולוגי,146,18,,"164",6832
לינקדאין,Jun-21,https://www.linkedin.com/posts/efrat-kadosh-8411321_myintelstory-iamintel-octopus-activity-6813531871046057984-xNVL,"הבוקר לא היו לי פגישות והחלטתי להתאוורר בשנירקול בחוף דור. זה היה יום המזל שלי: פגשתי סרטן אדום, זוג דיונונים ותמנון!! 🐙 התמנון היה בתוך בור ומעליו היתה אבן. האבן הסתירה אותו אבל לא כיסתה אותו לגמרי. במקרה הבחנתי בזרוע מבצבצת וזה ריתק אותי. הבטתי בו דקות ארוכות. הוא זז באי נוחות, הזיז את האבן קלות והוציא זרועות מדי פעם. היה נראה שהוא כלוא מתחת לאבן, שהוא נאבק להזיז אותה ולא מצליח. לא יכולתי להניח לו במצוקתו והחלטתי לנסות להסיר את האבן. פירקתי את השנורקל, צללתי לקרקעית וניסיתי בעזרתו להזיז את האבן. זה גרם לתמנון להבהל ולהתכנס יותר בתוך הבור. לאחר מספר ניסיונות שלא צלחו, החלטתי להניח לזה וצפיתי מהצד. חלפו מספר דקות, והתמנון חזר לנוע וסידר את האבן כך שתסתיר אותו בצורה טובה יותר מהאויב הפוטנציאלי - אני! האירוע הזה גרם לי לחשוב האם גם בחיים הפרטיים או בעבודה אני לפעמים מעניקה פרשנות שגויה למצבים? האם פעולה מתוך רגש גורמת לנו לפעמים להזיק בזמן שאנחנו רוצים למעשה להועיל? האם כמנהלים, אנחנו מנסים לפעמים לעזור כשעזרה לא באמת נחוצה? אשמח לתובנות מעניינות וסיפורים רלוונטיים בתמונה: תמנון אחר שצולם בים אחר ובזמן אחר על ידי חבר יקר, צוללן וצלם מוכשר Amit Zeevi",Efrat Kadosh,תרבות ארגונית,67,21,,"88",4545
לינקדאין,Jun-21,https://www.linkedin.com/posts/efrat-kadosh-8411321_myintelstory-iamintel-ai-activity-6812241232639619072-ySW3,"איך מניעים שינוי? לפני שלוש שנים, כשהייתי נכנסת לישיבות הנהלה ומציעה שיתוף פעולה בפיתוח פתרונות AI לבעיות עסקיות, היו מסתכלים עליי בהשתאות. הרבה הרימו גבה. איך יתכן שניתן לפתור בעיות חשמליות ללא הכשרה מקצועית בתחום? היום, יש הרבה יותר פתיחות. הקבוצות העסקיות משלבות מוצרי AI כחלק מארסנל הפתרונות. ובינה מלאכותית משחקת תפקיד חשוב במגרש של הגדולים. אז מה נחוץ כדי להניע שינוי כזה? מנהיגים עם חזון שמציבים מטרות עבור מרכז הפיתוח של אינטל בישראל - הובלה גלובלית בתחום הבינה המלאכותית. קבוצת עבודה חוצה אירגונים שמתרגמת את החזון לפרקטיקה. ואנשים טובים שמשנסים מותניים ומקימים קהילה. דרורי שוחט הוא אחד ממקימי קהילת ה AI באינטל ישראל. האזינו לדרך שהקהילה הזאת עשתה בפודקסט של הדר ביסמוט, מלכת הקהילות. לינק בתגובה הראשונה",Efrat Kadosh,טכנולוגי,49,5,,"54",2752
לינקדאין,Jun-21,https://www.linkedin.com/posts/efrat-kadosh-8411321_ai4y-myintelstory-iamintel-activity-6808078465930149888-mCwr,"השבוע, בתי בכיתה י', השלימה את יחידת הבגרות הראשונה שלה. היא תיכנתה את המשחק ""ארבע בשורה"" באסמבלר. ואיזה תהליך מדהים היא עברה. מחוסר הבנה איך השפה הזאת עובדת, דרך לילה לבן של תיקון באגים ועד הצגת הפרויקט המרשים מול הבוחנים. ליוויתי אותה מהצד, יעצתי, עודדתי ואפילו היה לנו זמן איכות של דיבוג הקוד ביחד. באותו זמן, במקום אחר, השלימו תלמידי תיכון בסמת בחיפה את הפרויקטים המסכמים בבינה מלאכותית, כחלק מפרויקט #AI4Y של אינטל ו Davidson Institute . השבוע נערך הטקס הבית ספרי ונבחר הפרויקט הזוכה שעולה לגמר הארצי. הייתי גאה מאד בתלמידים. ממש כמו בבתי שלי. כמתנדבת בפרויקט, גם אותם ליוויתי בשבועות האחרונים. נפגשנו בשיעורי זום שבועיים והמשכנו בוואטסאפים בין לבין. אני רוצה להרים לעמיתיי המתנדבים Nir Friedman ו Elhay E. שהשקיעו שעות רבות ועזרו לצוותים באתגרים הטכניים של פרויקטי ה AI. בתמונה: הקבוצה המנצחת מחיפה בטקס הסיום המרשים",Efrat Kadosh,תרבות ארגונית,47,1,,"48",1597
פייסבוק,Jun-21,https://www.facebook.com/evelin.forever/posts/10225711458196867?__cft__[0]=AZVCq9_EVv1vz5GWFaU3L86CZsXLds7eoT7-3KCX649QfcmFFPQHSdhC76nfASM8CsYhLfiLrPPyFBHRDSwQZQ3fCyslFOJzPdUpp8teo4vjjn6KQRImRsZd1swmSXsG-Jg&__tn__=%2CO%2CP-R,"לפני 15 חודשים הקורונה טרפה את הקלפים בארץ ובעולם. תקופת הקורונה הייתה מאתגרת עבור כולנו. אני אוהבת להיות בחברת אנשים , לעבוד עם אנשים ולבלות עם אנשים ולכן האתגר הגדול עבורי היה הניתוק החברתי. בתקופת הקורונה קרו לי גם דברים מדהימים ששינו את חיי. התחתנתי עם אהוב ליבי, נכנסתי להריון וילדתי את בני הבכור. אבל הריחוק מהחברים עדיין הורגש ובמיוחד התעצם בחופשת לידה. הקירבה לאותם אנשים שיש לי חיבור אליהם, שממלאים אותי, שאני לומדת מהם לא מעט בעבודה ובחיים, שהם אוזן קשבת ברגעים קשים וברגעים טובים היא אוויר לנשימה עבורי. אתמול, ביקרו אותי חברים שלא פגשתי כמה חודשים טובים. הביקור החזיר לי את האוויר לנשימה ומילא אותי באנרגיות מדהימות. זכיתי בענק בחברים מדהימים. מאחלת לכולנו שלא נחווה עוד ניתוק חברתי ונקיף את עצמנו באנשים מדהימים בעבודה בפרט ובחיים בכלל. #myintelstory",Evelin Asaf,תרבות ארגונית,122,32,,"154.00",
לינקדאין,Jun-21,https://www.linkedin.com/posts/eyal-rond-58b2651_eye-on-npi-intel-realsense-id-solution-activity-6814810878022557696-SgUN,"when your product is that good and easy to use, no wonder it gets such positive review. I'm proud of my team's Facial Authentication product and the amazing SDK we are promoting on GitHub to enable the developers community to use for variety of applications.",Eyal Rond,טכנולוגי,36,1,,"37",247
לינקדאין,Jun-21,https://www.linkedin.com/posts/gal-sade-91017511b_myintelstory-activity-6813741225410088960-f-SM,"2 weeks ago הכל התחיל מהצעה אטרקטיבית אי שם בפברואר להיות חלק מצוות מנצח להקמת אירוע וירטואלי: TechWeek 2021, האירוע הטכנולוגי הגדול של אינטל לכל העובדים. ועכשיו, רגע אחרי, זה זמן טוב להסתכל אחורה. להיזכר באתגר של בניית אירוע, ליצוק תוכן איכותי ומיטבי, כזה ששם את מה שמעניין את העובדים במרכז – ולראות איך מובילים ומובילות טכנולוגיים מתגייסים זה אחר זו למאמץ משותף שבאמת הופך את ה-TechWeek הזה לאירוע שלא רוצים להפסיד. ואז חוזרים לקמפוסים. חגיגה ענקית. אופרציה מטורפת. זה יותר גדול ממה שחשבתי - וממשיכים. ללמוד את ההרגלים החדשים במוד אוטוטו-היברידי. מתי יש אנשים? מתי אין? איך מביאים קהל לקמפוס ואיך מניעים אותו לתוך ההרצאות? לעצור ולתת מקום לכל מה שלמדתי בארבעה חודשים הסופר אינטנסיביים האלה. איך לאט ובמקצועיות (ובסבלנות רבה), לימדו אותי על מבנה האירוע, על התכנים המתאימים, על החגיגה הטכנולוגית השנתית של אינטל. להודות בלב (ובדרכים המתאימות) לכל הא/נשים הסופר מוכשרים שזכיתי להכיר תוך כדי האירוע וזוהי ללא ספק תחילת של ידידות מופלאה, וגם לא/נשים שכבר הכרתי אבל זכיתי להעמיק איתם קשרים מקצועיים וללמוד מהם/ן המון. לעצור ולזכור שבסופו של יום, מאחורי כל פרויקט, גדול או קטן, בטכנולוגיית קצה או הכי לואו-טק שנוכל לדמיין – הכל זה האנשים שמאחורי הקלעים. ואיזה כיף לי שזכיתי לעבוד אתכם",Gal Sade Ben Hamo,טכנולוגי,34,6,,"40",1244
לינקדאין,Jun-21,https://www.linkedin.com/posts/gal-sade-91017511b_intel-bigdataanalytics-aws-activity-6813743017011249152-T-KW,"כמה שאני אוהבת לעשות חיבורים. והפעם זה יצא חיבור מוצלח במיוחד! תודה Yonatan Dolan על הרצאה מרתקת ולא פחות על חיבור מעולה לאנשים המצוינים אצלכם, ותודה Sapir Stern שהפכת את הרעיון הזה מסתם הצעה למשהו שנגמר בהרצאה מעולה וכנס מצוין (וגם זר פרחים :)",Gal Sade Ben Hamo,טכנולוגי,2,1,,"3",240
פייסבוק,Jun-21,https://www.facebook.com/gal.sade.50/posts/10158183182743341?__cft__[0]=AZUtLd2FmgrhVdLcD9QwowUEbhm7WfnoaCCJezA7F5vYTNLkvx5RDwTxcivHtAsM5BQSihiMWvkwu6x7nmLGkM8CDEShEHbQKb_ErJHxp37cDETiH3peQKHuWMdwm-AF-oA&__tn__=%2CO%2CP-R,"השקט שאחרי הסערה. אתמול בערב קרסתי על הספה. זה היה מתבקש. אחרי Road Show של כמעט שבועיים בין כל הקמפוסים של ארגוני הפיתוח באינטל, גם הגוף צריך רגע לנוח. בבוקר שאחרי אני אוספת משימות סגירה, כי אירוע לא נגמר רק בשריקת הסיום והתודות למרצה האחרון ששמר על הקהל עד הסוף – עכשיו זה הזמן לזכור את מה שחשוב באמת: את החגיגות ואת האישורים והסגירות והסקת המסקנות, את האנשים שעשו שהאירוע הזה יעמוד, את השותפים והשותפות המדהימים לדרך. אבל רגע לפני זה, שקט. לעצור ולהיזכר איך זה התחיל מהצעה אטרקטיבית אי שם בפברואר להיות חלק מצוות מנצח להקמת אירוע וירטואלי. לבנות אירוע, ליצוק תוכן איכותי ומיטבי, כזה ששם את מה שמעניין את העובדים במרכז – ולראות איך מובילים ומובילות טכנולוגיים מתגייסים זה אחר זו למאמץ משותף שבאמת הופך את ה-TechWeek הזה לאירוע שלא רוצים להפסיד. ואז חוזרים לקמפוסים. חגיגה ענקית. אופרציה מטורפת. זה יותר גדול ממה שחשבתי - וממשיכים. ללמוד את ההרגלים החדשים במוד אוטוטו-היברידי. מתי יש אנשים? מתי אין? איך מביאים קהל לקמפוס ואיך מניעים אותו לתוך ההרצאות? לעצור ולהעריך את התמיכה המלאה שקיבלתי בבית, מהמשפחה ומהחברים, הדאגה וההתעניינות (גם אם בתכל'ס לחצי מכם לא היה מושג לאן ולמה נעלמתי) לעצור ולתת מקום לכל מה שלמדתי בארבעה חודשים הסופר אינטנסיביים האלה. איך לאט ובמקצועיות (ובסבלנות רבה), לימדו אותי על מבנה האירוע, על התכנים המתאימים, על החגיגה הטכנולוגית השנתית של אינטל. להודות בלב (ובדרכים המתאימות) לכל הא/נשים הסופר מוכשרים שזכיתי להכיר תוך כדי האירוע וזוהי ללא ספק תחילת של ידידות מופלאה, וגם לא/נשים שכבר הכרתי אבל זכיתי להעמיק איתם קשרים מקצועיים וללמוד מהם/ן המון. Oz Ben Hamo Shirly Diskin | @rotem cohen | Ben Damri | Sapir Omer | Sapir Stern | Tali Polke | Naama Badihi Ouziel | Ortal Koren | Zohar Zittoun Windish | Sahar Halabi | Lital Avigdor | Guy Grimland לעצור ולזכור שבסופו של יום, מאחורי כל פרויקט, גדול או קטן, בטכנולוגיית קצה או הכי לואו-טק שנוכל לדמיין – הכל זה האנשים שמאחורי הקלעים. ואיזה כיף לי שזכיתי לעבוד אתכם",Gal Sade Ben Hamo,טכנולוגי,127,38,,"166.00",
לינקדאין,Jun-21,https://www.linkedin.com/posts/gilly-rapoport-98b43992_engineering-myintelstory-iamintel-activity-6809700528424022016-Ps7o,"התקלקל מייבש הכביסה. החלטתי בהתקף של הרגע לא לקרוא לטכנאי. אמרתי לעצמי שמייבש כביסה זו לא מכונה מאוד משוכללת. יוטיוב. ספר הדרכות . מברגת יד. וקדימה. לטכנאי יהיה אפשר לקרוא גם אחר כך. ביומיום שלי אני פותרת עשרות בעיות כאלו. מכונה שאני לא מכירה, בעיה חדשה שלא נתקלתי בה, חידה שעוד לא שמעתי. גיליתי שאצלי ואצל סביבתי כל עוד יש לי פתח לניסוי ואת האפשרות לטעות ככה אני יותר פורחת ויצירתית. מסתבר שאני גם יודעת ללמוד לבד לפתור בעיות שלא נתקלתי בהן בעבר. אוהבת להיות איפה שכל פעם מביאים את התשובה ממקום אחר. עכשיו זה הזמן לעשות דברים אחרת. לקרוא לטכנאי זה משעמם. זה היה 16 ברגים. כפתור אדום אחד. המכונה עובדת.",Gilly Rapoport,תרבות ארגונית,52,13,,"65",2667
לינקדאין,Jun-21,https://www.linkedin.com/posts/gilly-rapoport-98b43992_using-simulation-based-scheduling-to-maximize-activity-6801068529119436800-VvZz,"ייעול ייצור על ידי שימוש בסימולציה. במאמר המצורף עשו מחקר איך ממקסמים ייצור על ידי סימולציה. התוצאות מרתקות. המערכת משתמשת במנוע הדמיה של אירועים נבדלים כדי לתזמן את פעילות צוואר הבקבוק , שבירת רצפים בשל עדיפות למוצרים וירידת המכונות לטיפול תקופתי בטרם עת כדי שתוצאות הסימולציה יהיו קרובות ככל הניתן למציאות אמנם זה מפעל דומה לאלו איתם אני מתמודדת אך לא זהה, כרגע לאינטל עוד אין לקוחות שונים ואני עובדת מול הייצור עצמו, אך יש לנו שימוש נרחב בסימולציה עבור כל מפעל ובכללי על כל מפעלי אינטל מטרתנו היא גם לעמוד בביקוש וגם לקצר את זמן הייצור על ידי תורת התורים וזאת כמובן עם חיסכון מירבי. היתרונות שלנו בעידן בו אנו חיים שאנחנו יכולים להשתמש בסימולציות ובאמצעים מתקדמים ושימוש בסטטיסטיקה וחקר ביצועים, בינה מלאכותית ועוד כדי לייעל רצפת ייצור מעמיד אותנו במקום מדהים , אך גם בעולם הייצור שנחשב פחות מתקדם יש לראות איך כל טכנולוגיה שנוספת רותמים אותה לטובת ייעול עולם הייצור תוצאות מובטחות",Gilly Rapoport,טכנולוגי,10,,,"10",837
לינקדאין,Jun-21,https://www.linkedin.com/posts/gilly-rapoport-98b43992_using-simulation-based-scheduling-to-maximize-activity-6802529002989862913-Wm_V,"שיואו בפוסט הקודם שלי (הנה לינק) https://lnkd.in/dzm-iAW כתבתי כמה דברים בזכותה של הסימולציה לא ציפיתי שיכתבו לי בפרטי חברים מופתעים מסתבר שגם בתואר הראשון וגם בתואר השני הייתי מאוד נחרצת על הקורס הזה. גם שהקורסים בכל אחד מהתארים היו על שתי תוכנות שונות (כיאה ל12 שנים שהפרידו בין התארים) הפתיע אותם שאני בעד אז מסתבר שהחיים מתנהלים אחרת מהתואר ושקורסים אכן כן נכנסים לתודעה וגם אם בתואר סבלתם ממשהו זה לא אומר שזה לא ישמש אתכם בעתיד. הרי יש לזה כל כך הרבה גורמים ממרצה, לתוכנה, להבנה של הצורך בעולם מחוץ לאקדמיה. ובכלל ממליצה לפעמים לחזור לעבור על הנושאים שלמדתם אולי זה יתן לכם פריצת דרך ויזכיר לכם משהו חדש להתעמק בו ובכלל יש שיעורים בחיים שאנחנו מבינים בדיעבד.",Gilly Rapoport,טכנולוגי,4,1,,"5",284
לינקדאין,Jun-21,https://www.linkedin.com/posts/gilly-rapoport-98b43992_congrats-class-of-21-you-did-it-activity-6812499011816189952-_Srt,"It is up to us – to YOU -- to define this new era, before it defines us הנאום הזה מצויין. גרם לי לשלוח אותו למנטורים הפרטיים שלי ועזר לי בהתלבטויות המונחות כרגע על שולחני. מבטיחה לשתף בהן בהמשך. וגרם לי עוד קצת לחבב את פט ולהאמין בו. כדאי להקשיב או לקרוא או גם וגם.",Gilly Rapoport,תרבות ארגונית,4,,,"4",322
לינקדאין,Jun-21,https://www.linkedin.com/posts/guy-almog_%D7%90%D7%99%D7%A0%D7%98%D7%9C-%D7%97%D7%95%D7%A9%D7%A4%D7%AA-%D7%A9%D7%91%D7%91-%D7%97%D7%93%D7%A9-%D7%A9%D7%A4%D7%95%D7%AA%D7%97-%D7%91%D7%99%D7%A9%D7%A8%D7%90%D7%9C-%D7%95%D7%99%D7%95%D7%A6%D7%90%D7%AA-activity-6810278070109409280-iH1x,"הכירו את השבב החדש של אינטל שנחשף, וזה לא CPU עוד גאווה ישראלית אינטלית",Guy Almog,טכנולוגי,34,,,"34",2770
לינקדאין,Jun-21,https://www.linkedin.com/posts/guy-almog_true-view-highlights-liverpool-1-4-city-activity-6810093229824872448-ksBI,"הטכנולוגיה שמשנה את חוקי הצפייה בספורט.... לפני כמה ימים הסברתי לחבר מה אנחנו עושים באינטל ספורט, אבל במקום לדבר ולהסביר, פשוט שלחתי לו את הסרטון הבא שמדבר בעד עצמו חובבי ספורט, טכנולוגיה, כדורגל ? חייבים לראות עד הסוף ! והדור הטכנולוגי החדש שלנו שיגיע אוטוטו למגרשים, בכלל ישנה הכל. יש למה לחכות. תהנו אם מישהו רוצה לדעת איך אנחנו עושים את הקסם הזה - תשאלו בתגובה או בפרטי, אספר לכם.",Guy Almog,טכנולוגי,29,2,,"31",1597
לינקדאין,Jun-21,https://www.linkedin.com/posts/guy-almog_drone-video-shows-construction-at-4-intel-activity-6811261725485101056-bvLH,"How a chip plant construction looks like ? check these new plants by Intel that are being reconstructed as we speak. And as always - Intel Israel shines here as well, with $10 Billions invested in one of the most advanced plants in the world ! Amazing Intel.",Guy Almog,טכנולוגי,7,,,"7",627
לינקדאין,Jun-21,https://www.linkedin.com/posts/hagay-golan-2b96b153_iamintel-myintelstory-activity-6810077003421642752-f_Wk,Where is my cubical? Well....,Hagay Golan,תרבות ארגונית,23,1,,"24",1585
פייסבוק,Jun-21,https://www.facebook.com/hagay.golan/posts/10159432399349222?__cft__[0]=AZUOBaWAnZdJLb6zKr8Mn2m_wzFn4r8irjCIIblnHcq42NETGLFD9f52JxP75ET9-d29I_pj7dyFMVDQCh7ZpKIiJwe1n7e_M-paiZaBZuVZrAXt80BvP4V-VsYjGo7PiDE&__tn__=%2CO%2CP-R,קל לזהות איפה הקוביה שלי.,Hagay Golan,תרבות ארגונית,28,11,,"39.00",
פייסבוק,Jun-21,https://www.facebook.com/hagay.golan/posts/10159422413494222?__cft__[0]=AZX6TCZruS4rsXeJMoWlHdxjg2jJbb7jFzVGofcKwv2hv4NsEIGvnun62oYT5gSKPhIr96Eoeyxx3kPGq1Bjo7yUkAX-dEI_xVZyNmHe7VmVbxXWqsk3VzrZL1RWu8iprzk&__tn__=%2CO%2CP-R,"איזה משחק יאללה... האמת שלא הצלחתי להתחבר למשחקי כדור. השאלה הראשונה ששמעתי כשעליתי לאוטובוס לבית ספר היתה ""יוסטון ניצחה?"" ומשם ועד סוף היום דיברו רק על זה. בשלב מסוים התחלתי לשאול סתם אם יוסטון ניצחה אבל התרמית נחשפה די מהר כשלא ידעתי איך להמשיך את השיחה. אני רואה חברים שיכולים לדבר על משחקי כדורסל בלהט כזה שמזכיר לי אותי מדבר על גיטרות. מעבר ליכולת תשומת הלב לדקויות באיכות המשחק מרשימים אותי כאלה שזוכרים מהלכים ממשחקי עבר ועוד יותר מרשימים אותי אלה שזוכרים תוצאות שנים לאחור. הסיבה היא שאצלי הזיכרון עובד הכי טוב כשהוא מקושר לרצף הגיוני מסוים. הלכתי ללמוד הנדסת אלקטרוניקה כי אפשר לקשור התנהגות של מעגל חשמלי דרך הגיון מתמטי. יש פחות פרטים לא קשורים שצריך לזכור. יש לי חבר ילדות שזוכר את הציונים שלנו ממבחנים מכיתה ד'. ואיך הזיכרון שלכם?",Hagay Golan,תרבות ארגונית,8,12,,"20.00",
לינקדאין,Jun-21,https://www.linkedin.com/posts/haim-fisher-6632851b4_myintelstory-iamintel-hiring-activity-6803568724411457536-wJkV,"היי חברים יקרים, כסטודנט לסטודנט, אני ממש מתרגש לכתוב את הפוסט הזה. נפתחים תקנים חדשים, לסטודנטים באינטל ירושלים. לתפקידי פיתוח בקושחה של מנוע הסקיוריטי של אינטל ה - CSME אז אם בא לכם לעבוד צמוד למהנדסים הטובים ביותר, לעסוק בפיתוח של מערכת לא טריוויאלית, שמצריכה Security mindset ויכולות טכניות גבוהות, במקום הכי כייפי בירושלים, אז זה המקום בשבילכם! Inside information 😉  - המנהל הישיר שלי אחראי על הגיוסים… (לא מבטיח כלום! 😊) אז אם אתם חושבים שאתם מתאימים ויש לכם יתרת לימודים של שני סמסטרים דברו איתי",Haim Fisher,טכנולוגי,52,9,,"61",886
לינקדאין,Jun-21,https://www.linkedin.com/posts/haim-fisher-6632851b4_kali-linux-on-windows-in-5min-wsl-2-gui-activity-6810190450591330305-mm1C,"מפתחים לווינדוס אבל צריכים מדי פעם להשתמש בלינוקס? הפוסט הזה בשבילכם אבל בתנאי שאתם לא טכנופוביים! הכירו את Windows Subsystem for Linux. או בקיצור WSL. טיפה רקע: WSL זהו פיצ'ר של ווינדוס שמאפשר להריץ את מערכת ההפעלה לינוקס כמכונה וירטואלית על גבי המחשב שלכם כאשר את כל הקטע הטכני מנהלת ווינדוס מאחורי הקלעים ואתם (כמעט) לא צריכים לעשות כלום. ה-WSL הוא פשוט וקל להפעלה כך שלא צריך שום ידע מיוחד כדי להתקין אותו ולקבל מחשב לינוקס בתוך הווינדוס שלכם כאשר האינטגרציה בין המערכות כמעט מושלמת. נתחיל עם סרטון חביב שמסביר איך להתקין WSL עם GUI ב 5 דק' (בדיוק!) - https://lnkd.in/dXyrgyB אז אחרי שהתקנתם או אם כבר יש לכם WSL מותקן קחו שני טיפים לדרך: 1. ל-WSL יש אינטגרציה מלאה למערכת הקבצים של ווינדוס. כך שאם תיכנסו משורש מערכת הקבצים הלינוקסית ל- \mnt\ תקבלו גישה לכל מערכת הקבצים של ווינדוס. בנוסף אתם יכולים לפתוח את ה-Windows Explorer בכל מקום מתוך הלינוקס ע""י הקשה של . explorer.exe (עם  הנקודה) בטרמינל של לינוקס. 2. ה-WSL לא משחרר אוטומטית את שטח הזיכרון שהוקצה לו, אחרי שמוחקים ממנו קבצים. כלומר אם לדוגמה העתקתם לתוכו 10 גיגה מידע ומחקתם אותם הקבצים ימחקו אבל שטח הזיכרון שהוקצה ע""י ווינדוס ל-WSL  לא ישתחרר. והגודל של ה- WSL במערכת גדל ב- 10 גיגה למרות שהוא כבר לא משתמש בהם. כדי לשחרר את הזיכרון הריצו את הפקודות הבאות ב-  powershell: אם אתם משתמשים ב- windows 10 pro קחו את הפקודות מכאן https://lnkd.in/dPNq8Eb אם אתם משתמשים ב- windows 10 home קחו את הפקודות מכאן https://lnkd.in/dPNq8Eb לסיום אם אתם מכירים טיפים טובים נוספים לשיפור חווית השימוש ב- WSL שתפו אותנו בתגובות.",Haim Fisher,טכנולוגי,22,4,,"26",1845
לינקדאין,Jun-21,https://www.linkedin.com/posts/ilanitbenshimon_intel-unveils-infrastructure-processing-unit-activity-6811033703377063936-w1BD,"Amazing works here in #intel! New networking device called IPU (Infrastructure processing unit), designed to enable Cloud Service Providers to reduce overhead and free up performance for CPUs!",Ilanit Ben-Shimon,טכנולוגי,20,,,"20",811
לינקדאין,Jun-21,https://www.linkedin.com/posts/ilanitbenshimon_tech-minute-intels-idm-20-strategy-explained-activity-6811927097552969728-gC6Z,1min video about #intel's strategy for the near future. Enjoy!,Ilanit Ben-Shimon,טכנולוגי,5,,,"5",232
לינקדאין,Jun-21,https://www.linkedin.com/posts/inbar-rave-8397313_iwasintel-myintelstory-activity-6815987113868197888-HfQv,"אחרי מעל 18 שנה, היום היה היום האחרון שלי באינטל. 18 שנים של עניין ואתגר, של גדילה ולמידה, של התפתחות מקצועית ואישית. 18 שנים שבהם שזורים רגעים של אושר גדול ורגעים של קושי ולחץ. של לילות ללא שינה, לפעמים בגלל TO ולפעמים בגלל שאנשים נוחרים באוהל בטיול. של בכי ושל צחוק מתגלגל בגלל בדיחות קרש פנימיות שהפכו מצחיקות עם הזמן. אינטל ובה המחלקה לתקשורת אל חוטית הפכו לי לבית והאנשים היקרים, החכמים והמוכשרים שאיתם עברתי את המסע הזה הפכו לחברים ושותפים. לא יכלתי לבקש לעצמי קבוצה טובה יותר להיות חלק ממנה ואני כבר מתגעגעת אליכם ❤️",Inbar Rave,תרבות ארגונית,506,97,,"603",44145
לינקדאין,Jun-21,https://www.linkedin.com/posts/itamar-ginat-63184914a_myintelstory-teambulding-workingfromhome-activity-6813023539411632128-Fdi3,אחרי שנת קורונה ארוכה בה עבדנו מהבית הגיע הזמן שהקבוצה שלנו תיפגש. שבוע הבא אני מארגן יום קבוצה עם אנשים שלא פגשנו יותר משנה. ופה אתם ואתן נכנסים לתמונה! מה לדעתכם חשוב לעשות ביום קבוצה של אנשים שלא ראו את אחד השני הרבה זמן? איך שוברים את הקרח עם אנשים ששחכת איך הם נראים? איזה משימות גיבוש אתם הכי אוהבים?,Itamar Ginat,תרבות ארגונית,11,2,,"13",1673
